siteid,sitename,state,county,startdate,enddate,latitude,longitude,elevation
AK01,Poker Creek,AK,Fairbanks North Star,12/29/92,,65.1547,-147.4861,230
AK02,Juneau,AK,Juneau,6/22/04,,58.5143,-134.7825,25
AK03,Denali National Park-Mt. McKinley,AK,Denali,6/17/80,,63.7236,-148.9639,649
AK99,Ambler,AK,Northwest Arctic,5/12/04,8/9/05,67.0931,-157.8689,88
AL02,Delta Elementary,AL,Baldwin,6/5/01,,30.7905,-87.8497,46
AL10,Black Belt Research & Extension Center,AL,Dallas,8/31/83,,32.4583,-87.2422,58
AL24,Bay Road,AL,Mobile,5/29/01,,30.4746,-88.1411,6
AL99,Sand Mountain Research & Extension Center,AL,De Kalb,10/2/84,,34.2886,-85.9699,349
AR02,Warren 2WSW,AR,Bradley,5/25/82,,33.605,-92.0972,76
AR03,Caddo Valley,AR,Clark,12/30/83,,34.1795,-93.0986,71
AR16,Buffalo National River-Buffalo Point,AR,Marion,7/13/82,,36.0839,-92.5869,308
AR27,Fayetteville,AR,Washington,5/13/80,,36.1006,-94.1733,391
AS01,Samoa,AS,,5/20/80,10/13/92,14.2525,-170.5633,82
AZ01,Tombstone,AZ,Cochise,3/27/79,9/1/81,31.7089,-110.0572,1398
AZ03,Grand Canyon National Park-Hopi Point,AZ,Coconino,8/11/81,,36.0717,-112.155,2152
AZ06,Organ Pipe Cactus National Monument,AZ,Pima,4/15/80,,31.9506,-112.8,506
AZ97,Petrified Forest National Park-Rainbow Forest,AZ,Apache,12/3/02,,34.8224,-109.8925,1707
AZ98,Chiricahua,AZ,Cochise,2/23/99,,32.0097,-109.3889,1570
AZ99,Oliver Knoll,AZ,Graham,8/25/81,,33.0714,-109.8647,1173
CA28,Kings River Experimental Watershed,CA,Fresno,4/24/07,,37.0592,-119.1822,2000
CA34,Bishop,CA,Inyo,4/15/80,6/22/82,37.3708,-118.3664,1252
CA42,Tanbark Flat,CA,Los Angeles,1/12/82,,34.2072,-117.7611,853
CA45,Hopland,CA,Mendocino,10/3/79,,39.0047,-123.0847,253
CA50,Sagehen Creek,CA,Nevada,11/6/01,,39.4317,-120.2369,1940
CA66,Pinnacles National Monument-Bear Valley,CA,San Benito,11/2/99,,36.4819,-121.155,300
CA67,Joshua Tree National Park-Black Rock,CA,San Bernardino,9/19/00,,34.0718,-116.3906,124
CA68,Palomar Mountain,CA,San Diego,3/15/83,1/12/88,33.3089,-116.8539,1695
CA75,Sequoia National Park-Giant Forest,CA,Tulare,7/8/80,,36.5669,-118.7772,1902
CA76,Montague,CA,Siskiyou,6/25/85,,41.7658,-122.4783,797
CA85,Channel Islands National Park,CA,Ventura,7/22/80,2/19/82,34.0158,-119.3619,49
CA88,Davis,CA,Yolo,9/4/78,,38.5353,-121.775,18
CA94,Converse Flats,CA,San Bernardino,5/9/06,,34.1938,-116.9117,1837
CA95,Death Valley National Park-Cow Creek,CA,Inyo,2/8/00,5/31/05,36.589,-116.978,125
CA96,Lassen Volcanic National Park-Manzanita Lake,CA,Shasta,6/13/00,,40.537,-121.539,1756
CA98,Chuchupate Ranger Station,CA,Ventura,8/2/83,1/23/96,34.8061,-119.0114,1614
CA99,Yosemite National Park-Hodgdon Meadow,CA,Tuolumne,12/8/81,,37.7961,-119.8581,1408
CO00,Alamosa,CO,Alamosa,4/22/80,,37.4414,-105.8653,2298
CO01,Las Animas Fish Hatchery,CO,Bent,10/4/83,,38.1178,-103.3161,1213
CO02,Niwot Saddle,CO,Boulder,6/5/84,,40.0547,-105.5891,3520
CO08,Four Mile Park,CO,Garfield,12/29/87,,39.4025,-107.3454,2502
CO10,Gothic,CO,Gunnison,2/2/99,,38.9581,-106.985,2926
CO15,Sand Spring,CO,Moffat,3/20/79,,40.5077,-107.7025,1998
CO18,Ripple Creek Pass,CO,Rio Blanco,5/13/03,,40.0851,-107.3118,2929
CO19,Rocky Mountain National Park-Beaver Meadows,CO,Larimer,5/29/80,,40.3639,-105.5806,2490
CO21,Manitou,CO,Teller,10/17/78,,39.1008,-105.0933,2362
CO22,Pawnee,CO,Weld,5/22/79,,40.8055,-104.7547,1641
CO90,Niwot Ridge-Southeast,CO,Boulder,1/24/06,,40.0358,-105.5358,3022
CO91,Wolf Creek Pass,CO,Mineral,5/26/92,,37.4686,-106.7903,3292
CO92,Sunlight Peak,CO,Garfield,1/13/88,,39.4264,-107.3799,3218
CO93,Buffalo Pass - Dry Lake,CO,Routt,10/14/86,,40.5347,-106.7811,2538
CO94,Sugarloaf,CO,Boulder,11/4/86,,39.9939,-105.48,2524
CO95,Engineer Mountain Guard Station,CO,San Juan,7/29/86,1/2/90,37.6597,-107.7992,2758
CO96,Molas Pass,CO,San Juan,7/29/86,,37.7514,-107.6853,3249
CO97,Buffalo Pass - Summit Lake,CO,Routt,2/7/84,,40.5383,-106.6766,3234
CO98,Rocky Mountain National Park-Loch Vale,CO,Larimer,8/16/83,,40.2878,-105.6628,3159
CO99,Mesa Verde National Park-Chapin Mesa,CO,Montezuma,4/28/81,,37.1981,-108.4903,2172
CT15,Abington,CT,Windham,1/26/99,,41.84,-72.0101,209
DE99,Trap Pond State Park,DE,Sussex,5/27/03,,38.4994,-75.4482,12
FL00,Austin-Cary Forest,FL,Alachua,10/10/78,7/14/81,29.7603,-82.1989,46
FL03,Bradford Forest,FL,Bradford,10/10/78,,29.9748,-82.1978,44
FL05,Chassahowitzka National Wildlife Refuge,FL,Citrus,8/27/96,,28.7486,-82.5551,3
